index,first_message,结果截图,"参考答案
（可以贴周报内容，或图表）",logic,数据集,"查询/分析逻辑
（可以贴可视化查询链接）",自动化评测,业务,题目类型, 难度,召回字段,time,数据过合规,指定数据集ID,更新时间
301,统计日期2023-10-29，统计这一天的云仓工单创建单量,,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-PJqzdK2b,,云仓客服工单明细,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-PJqzdK2b,否,电商,指标查询与统计,简单,,2023/10/30 12:00,否,2106716,2023/11/10
302,最近一天云仓发货慢CCR明细,,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-7OkBPALV,"1. 获取当前日期的前一天作为最近一天的日期
2. 从`云仓商家物流CCR明细`表中筛选出`统计日期`为最近一天且`CCR四级标签`为'发货慢'的数据
3. 执行SQL语句，获取数据",云仓商家物流CCR明细,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-7OkBPALV,是,电商,指标查询与统计,简单,,2023/10/30 12:00,否,1270060,2023/11/10
304,最近一天商家ID=54507770的物流CCR,,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-mLXvKlJn,"1. 获取当前日期的前一天作为最近一天的日期
2. 从`云仓商家物流CCR明细`表中筛选出`统计日期` = '{date}' AND `商家id` = {seller_id}的数据
3. 计算物流CCR，方法是统计`物流CCR_1`的唯一值数量除以`order_id`的唯一值数量
4. 输出最近一天（{last_day}）商家ID=54507770的物流CCR",云仓商家物流CCR明细,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-mLXvKlJn,是,电商,指标查询与统计,简单,,2023/10/30 12:00,否,1270060,2023/11/10
306,最近一天云仓发货慢ccr反馈单量,,https://data.bytedance.net/aeolus#/dataQuery?appId=555159&id=4182574808&sid=1270060,,云仓商家物流CCR明细,https://data.bytedance.net/aeolus#/dataQuery?appId=555159&id=4182574808&sid=1270060,否,电商,指标查询与统计,简单,,2023/10/31 12:00,否,1270060,2023/11/10
307,最近一天物流履约问题负向反馈订单量,,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-1JGxeN2b,"1. 获取当前时间的前一天的开始时间和结束时间
2. 从`云仓商家物流CCR明细`表中筛选出 `14日有效物流负向反馈-分类` = '物流履约问题' 并且 `统计日期` 在前一天的时间范围内的数据，计算`物流负向反馈订单量_物流履约问题`的数量
3. 输出最近一天物流履约问题负向反馈订单量和时间范围",云仓商家物流CCR明细,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-1JGxeN2b,是,电商,指标查询与统计,简单,,2023/10/31 12:00,否,1270060,2023/11/10
308,最近一天的物流ccr拦截率,,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-1JGxeN2b,"1. 定义最近一天的开始时间和结束时间
2. 从`云仓商家物流CCR明细`表中筛选出 `是否拦截` = 1 AND `统计日期` >= '{start_time}' AND `统计日期` <= '{end_time}' 的数据
3. 计算物流CCR_拦截_1的唯一值数量除以物流CCR_拦截_2的唯一值数量，得到物流CCR拦截率
4. 输出最近一天的物流CCR拦截率和时间范围",云仓商家物流CCR明细,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-1JGxeN2b,是,电商,指标查询与统计,简单,,2023/10/31 12:00,否,1270060,2023/11/10
309,最近七天的支付到CCR反馈平均时长,,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-1JGxeN2b,"1. 定义最近七天的开始日期和结束日期
2. 从`云仓商家物流CCR明细`表中筛选出 `统计日期` >= '{start_time}' AND `统计日期` <= '{end_time}' 的数据，并计算每天的支付-反馈时长的平均值，这里的支付-反馈时长的平均值是通过 sum ( `支付-反馈时长_1` ) / count ( distinct `order_id` ) 计算得到的
3. 按照`统计日期`进行分组，并按照`统计日期`进行排序
4. 如果没有找到相关数据，则输出""没有找到相关数据。""
5. 如果找到了相关数据，则将支付-反馈时长，并输出最近七天的支付到CCR反馈平均时长以及查询的时间范围。",云仓商家物流CCR明细,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-1JGxeN2b,是,电商,指标查询与统计,简单,,2023/10/31 12:00,否,1270060,2023/11/10
311,统计日期2023年10月25日，查询首次动销在近30天的店铺数,,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-dOBQpYLw,"1. 计算出2023年10月25日前30天的日期范围，得到开始日期和结束日期。
2. 从`商家粒度数据汇总表（运营B组）`表中筛选出`首次动销日期`在开始日期和结束日期之间的指标首次动销店铺数(count(distinct `店铺id`))",商家粒度数据汇总表（运营B组）,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-dOBQpYLw,是,电商,指标查询与统计,简单,,2023/10/30 12:00,否,2038327,2023/11/10
312,"
区分商家类型，列出2023年10月1日至最新日期的1日订单金额趋势图",,https://data.bytedance.net/aeolus/#/dataQuery?appId=555159&id=4182593301&rid=5783793&sid=2038327,,行业重点运营商品池近14天曝光商品明细,https://data.bytedance.net/aeolus/#/dataQuery?appId=555159&id=4182593301&rid=5783793&sid=2038327,否,电商,可视化,简单,,2023/10/31 12:00,否,1854611,2023/11/10
313,为每个一级类目 查询一家近14天商品曝光PV 最高的店铺,,https://data.bytedance.net/aeolus/#/dataQuery?appId=555159&id=4182576331&rid=5775898&sid=1854611,,行业重点运营商品池近15天曝光商品明细,https://data.bytedance.net/aeolus/#/dataQuery?appId=555159&id=4182576331&rid=5775898&sid=1854611,否,电商,指标查询与统计,简单,,2023/10/27 12:00,否,1854611,2023/11/10
314,2023年10月25日，看综合价格竞争力的商品数分布占比,,https://data.bytedance.net/aeolus/#/dataQuery?appId=555159&id=4182577050&rid=5754566&sid=1854611,,行业重点运营商品池近16天曝光商品明细,https://data.bytedance.net/aeolus/#/dataQuery?appId=555159&id=4182577050&rid=5754566&sid=1854611,否,电商,指标查询与统计,简单,,2023/10/27 12:00,否,1854611,2023/11/10
315,"2023年10月25日，当日交易金额最多的10个商品是？
",,https://data.bytedance.net/aeolus/#/dataQuery?appId=555159&id=4182578961&rid=5777203&sid=1854611,,行业重点运营商品池近17天曝光商品明细,https://data.bytedance.net/aeolus/#/dataQuery?appId=555159&id=4182578961&rid=5777203&sid=1854611,否,电商,指标查询与统计,简单,,2023/10/31 12:00,否,1854611,2023/11/10
316,查询2023年10月25日当天上架商品的价格带分布,,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-V2EZbALn,1. 从`行业重点运营商品池近14天曝光商品明细`表中筛选出`商品首次上架日期` = '2023-10-25'的数据，并按`价格带`进行分组，统计每个`价格带`的`商品ID`数量。,行业重点运营商品池近18天曝光商品明细,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-V2EZbALn,是,电商,指标查询与统计,简单,,2023/10/27 12:00,否,1854611,2023/11/10
317,"2023年10月25日的新手村商家的营业状态分布
",,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-VOoMEn2R,1. 从`商家粒度数据汇总表（运营B组）`表中筛选出 `p_date` = '2023-10-25' AND `是否为新手村商家：1是 0否（T+2指标）` = 1 的数据，并按照`营业状态`进行分组，计算每个`营业状态`下的`店铺id`的数量，得到每种`营业状态`的`商家数`,商家粒度数据汇总表（运营B组）,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-VOoMEn2R,是,电商,指标查询与统计,简单,,2023/10/31 12:00,否,2038327,2023/11/10
318,上月结算GMV分层为温饱的商家，统计商家数、商家1天估算Gmv、支付gmv,,https://data.bytedance.net/aeolus/#/dataQuery?appId=555159&id=4182580572&sid=2038327,,商家粒度数据汇总表（运营B组）,https://data.bytedance.net/aeolus/#/dataQuery?appId=555159&id=4182580572&sid=2038327,否,电商,指标查询与统计,简单,,2023/10/31 12:00,否,2038327,2023/11/10
320,最近7天支付gmv的趋势图,,https://data.bytedance.net/aeolus/#/dataQuery?appId=555159&id=4182581362&rid=5783688&sid=2038327,,商家粒度数据汇总表（运营B组）,https://data.bytedance.net/aeolus/#/dataQuery?appId=555159&id=4182581362&rid=5783688&sid=2038327,否,电商,可视化,简单,,2023/10/31 12:00,否,2038327,2023/11/10
321,看下店铺类型的分布,,https://data.bytedance.net/aeolus#/dataQuery?appId=555159&id=4182582224&sid=1556108,,商品价格力分析数据集,https://data.bytedance.net/aeolus#/dataQuery?appId=555159&id=4182582224&sid=1556108,否,电商,指标查询与统计,简单,,2023/10/20 12:00,否,1556108,2023/11/10
322,活动开始日期是20230919的数据中，哪个店铺爆品的商品数最多,,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-rJWl9a2e,"1. 从`【大促活动】商品池表现`表中筛选出`活动开始日期` = '20230919'的数据
2. 对筛选出的数据按照`店铺名称`进行分组，并计算爆品数(count ( distinct `爆品数_1` ))
3. 按照爆品数降序排序，并取出爆品数最多的一条记录",【大促活动】商品池表现,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-rJWl9a2e,是,电商,指标查询与统计,简单,,2023/10/20 12:00,否,2286426,2023/11/10
326,二级子赛道的2023年成交额累计分布,,https://data.bytedance.net/aeolus#/dataQuery?appId=555159&id=4182584505&sid=2286426,,【大促活动】商品池表现,https://data.bytedance.net/aeolus#/dataQuery?appId=555159&id=4182584505&sid=2286426,否,电商,指标查询与统计,简单,,2023/10/27 12:00,否,2286426,2023/11/10
327,商运通行业二级子赛道名称的成交金额分布,,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-rJW6p7Oe,,【大促活动】商品池表现,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-rJW6p7Oe,否,电商,指标查询与统计,简单,,2023/10/27 12:00,否,2286426,2023/11/10
330,商运通二级子赛道为A6-3c数码的行业在活动开始日期为20230919的活动中，表现怎么样？,,https://data.bytedance.net/aeolus#/dataQuery?appId=555159&id=4090221234&sid=2286426,,【大促活动】商品池表现,https://data.bytedance.net/aeolus#/dataQuery?appId=555159&id=4090221234&sid=2286426,否,电商,模糊指标查询与统计,困难,,2023/10/27 12:00,否,2286426,2023/11/10
331,商运通二级子赛道为A6-3C数码的行业在活动开始日期为20230919的活动中，表现怎么样？,,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-rJW6p7Oe,1. 从`【大促活动】商品池表现`表中筛选出`商运通行业二级子赛道名称` = 'A6-3C数码' AND `活动开始日期` = '20230919'的相关指标：`活动期支付用户数`、`活动期支付订单金额`、`活动期商品曝光PV`、`活动期商品支付订单量`、`活动期商品支付GMV`、`活动期商品点击PV`(有其中一个就行),【大促活动】商品池表现,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-rJW6p7Oe,是,电商,指标查询与统计,困难,,2023/10/27 12:00,否,2286426,2023/11/10
333,2023年10月22号，支付订单数环比变化了多少？,,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-p2M7ZgO3,"1. 定义当前日期：'2023-10-22' 和 环比日期'2023-10-21'
2. 从`品牌馆日报数据`表中筛选出 `p_date` = '{date}' 的数据，并计算每个日期的支付订单数（SUM ( `pay_order_cnt_1d` )）
3. 计算两个日期的支付订单数的环比变化率，即 (count1 - count2) / count2",品牌馆日报数据,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-p2M7ZgO3,是,电商,指标查询与统计,简单,,2023/10/23 12:00,否,1748929,2023/11/10
335,20231226支付订单数最多的top3渠道分别是什么,,https://data.bytedance.net/aeolus/#/dataQuery?appId=555159&id=4182586598&rid=5777315&sid=1748929,,品牌馆日报数据,https://data.bytedance.net/aeolus/#/dataQuery?appId=555159&id=4182586598&rid=5777315&sid=1748929,否,电商,指标查询与统计,简单,,2023/10/23 12:00,否,1748929,2023/11/10
336,品牌馆最近30天日均的订单数是多少？,,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-EOVb6vOQ,"1. 获取最近30天的时间区间
2. 从`品牌馆日报数据`表中筛选出 `p_date` 在时间区间内的数据，并计算得到总订单数（SUM(`pay_order_cnt_1d`)）
3. 使用总订单数除以30，得到日均订单数",品牌馆日报数据,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-EOVb6vOQ,是,电商,指标查询与统计,简单,,2023/10/31 12:00,否,1748929,2023/11/10
337,最近30天，品牌馆对什么样的人群吸引力更高？,,https://data.bytedance.net/aeolus/#/dataQuery?appId=555159&id=4182587642&rid=5777385&sid=1748929,,品牌馆日报数据,https://data.bytedance.net/aeolus/#/dataQuery?appId=555159&id=4182587642&rid=5777385&sid=1748929,否,电商,模糊指标查询与统计,中等,,2023/10/31 12:00,否,1748929,2023/11/10
